n_inventario,autore,titolo,casa_editrice,anno,isbn,generi,ripetuti
3,Vittorio Alfieri,La vita,E.I.R,1964,-,"Biografia, Memorie",FALSE
8,Metz/Costa,Attraverso il cinema,Longanesi,1978,-,Saggistica,FALSE
17,Thomas Mann,I Buddenbrook,Mondadori,1970,9788804491768,"Narrativa, Classico",FALSE
18,Carlo Cassola,Il taglio del bosco,Einaudi,1965,-,"Narrativa, Racconti",FALSE
20,Cesare Pavese,La bella estate,Einaudi,1949,-,"Narrativa, Romanzo",FALSE
21,Antonio Fogazzaro,Malombra,Mondadori,-,-,"Fantasy, Gotico, Classico",FALSE
28,Eduardo de Filippo,Filumena Marturano,Einaudi,1964,-,"Poesia, Teatro",FALSE
29,Dino Buzzati,Il deserto dei tartari,Mondadori,2000,9788804481072,"Narrativa, Classico",FALSE
A1586,Woody Allen,Io e Annie,Feltrinelli,1991,9788807811449,"Poesia, Teatro",FALSE
32,Natalia Ginzburg,Lessico famigliare,Einaudi,1963,-,"Narrativa, Biografia, Memorie",FALSE
33,Giorgio Bassani,Gli occhiali d’oro,Mondadori,1977,9788804470106,"Narrativa, Romanzo",FALSE
35,Giorgio Bassani,Le storie ferraresi,Einaudi,1960,-,"Narrativa, Racconti",FALSE
57,Miguel de Cervantes,Don Chisciotte della Mancia (Vol. 3),Mondadori,1964,-,"Narrativa, Classico",FALSE
58,Miguel de Cervantes,Don Chisciotte della Mancia (Vol. 2),Mondadori,1964,-,"Narrativa, Classico",FALSE
59,Miguel de Cervantes,Don Chisciotte della Mancia (Vol. 1),Mondadori,1964,-,"Narrativa, Classico",FALSE
64,Erodoto,Storie di antichi popoli,Editrice Italiana di Cultura,1964,-,"Saggistica, Storia",FALSE
66,Carlo Goldoni,La locandiera,Signorelli,1966,-,"Poesia, Teatro",FALSE
76,Victor Hugo,I lavoratori del mare,San Paolo,1966,-,"Narrativa, Classico",FALSE
77,I. S. Turgenev,Padri e figli,San Paolo,1961,-,"Narrativa, Classico",FALSE
79,W.H. Armstrong,Sounder,Bompiani,1971,9788845233043,"Ragazzi, Romanzo Storico",FALSE
81,Beppe Fenoglio,I ventitre giorni della città di Alba,Einaudi,1952,-,"Romanzo Storico, Racconti",FALSE
